"funding","title"
"1332274","Collaborative Research: Quantifying changes in the Arctic hydrological cycle at the landscape scale using advances in water vapor isotope (d18O and dD) techniques and aircraft"
"1203093","Collaborative Research: Quantifying changes in the Arctic hydrological cycle at the landscape scale using advances in water vapor isotope (18O & D) techniques and aircraft"
"0230238","Collaborative Research:    Circulation in the Freshwater Switchyard of the Arctic Ocean"
"1023529","Collaborative Research:  Long-term Observations in the Switchyard Region of the Arctic Ocean as Part of the Arctic Observing Network (AON)"
"0634226","IPY: Collaborative Research: Aerial Hydrographic Surveys for IPY and Beyond: Tracking Change and Understanding Seasonal Variability"
"0634122","IPY: Collaborative Research: Aerial Hydrographic Surveys for IPY and Beyond: Tracking Change and Understanding Seasonal Variability"
"0634097","IPY: Collaborative Research: Aerial Hydrographic Surveys for IPY and Beyond: Tracking Change and Understanding Seasonal Variability"
"0633979","IPY: Collaborative Research: Aerial Hydrographic Surveys for IPY and Beyond: Tracking Change and Understanding Seasonal Variability"
"0634167","IPY: Collaborative Research: Aerial Hydrographic Surveys for IPY and Beyond: Tracking Change and Understanding Seasonal Variability"
"0902175","Collaborative Research: Seasonality of circumpolar tundra - ocean and atmosphere controls and effects on energy and carbon budgets"
"0531180","Collaborative Research: Greening of the Arctic - Synthesis and Models to Examine the Effects of Climate, Sea-ice, and Terrain on Circumpolar Vegetation Change"
"0902152","Collaborative Research: Seasonality of circumpolar tundra - ocean and atmosphere controls and effects on energy and carbon budgets"
"1203240","InMotion: Influx of Momentum into the Arctic Ocean  - Changes Associated with Sea Ice Reduction"
"1845466","NA"
"1583104","NA"
"0732948","Collaborative Research: IPY: Observation and Modeling of Tundra Ecosystem Responses to Climate Change"
"0335941","Long-term Measurements and Observations for the International Arctic Research Community on the Kuparuk River Basin, Alaska"
"1304563","Collaborative Research:  Contrasting Under-Ice and Open-Water Phytoplankton Blooms in the Chukchi Sea"
"1446308","Investigations of the Long Term Sustainability of Human Ecodynamic Systems in Northern Iceland"
"1023371","Collaborative Research: Impact of Storm Activity on Recent Changes in Arctic Sea Ice Mass Balance"
"1107801","The  ultra-warm Arctic ca. 90 million years ago"
"8670396","NA"
"3099463","NA"
"2249962","NA"
"8370786","NA"
"1578368","NA"
"3405941","NA"
"1263650","Collaborative Research: Water, Energy, and Food Security in the North: Synergies, tradeoffs, and building community capacity for sustainable futures (Sustainable Futures North)"
"0715431","Collaborative Proposal: Indigenous-State Relations in Alaska and Beyond:Sustainable Livelihoods, Biocultural Diversity and Health Since the Alaska Native Claims Settlement Act"
"1107411","COLLABORATIVE RESEARCH: Response of the Northwest Greenland Cryosphere to Holocene Climate Change"
"1304555","The Circumpolar Active Layer Monitoring Network-CALM IV(2014-2018): Long-term Observations on the Climate-Active Layer-Permafrost System"
"1339445","Togiak Archaeological and Paleoecological project"
"1203268","Doctoral Dissertation Research:   Centennial Scale Human Ecodynamics at Skutustadir Iceland"
"1312402","Warming and drying effects on tundra carbon balance"
"0803352","Collaborative Research: TransArctic Paleoclimate of the Eocene"
"1303965","Impacts of distant pollution sources on microphysical transitions in Arctic clouds"
"1232856","Collaborative Research: Observation and Prediction of Ocean Acidification in the Western Arctic Ocean - Impacts of Physical and Biogeochemical Processes on Carbonate Mineral States"
"1204233","Collaborative Research: Paleoclimate, Paleoenvironment and Other Potential Drivers of Extinction of Mammuthus primigenius, St. Paul Island, Pribilof Islands, Alaska."
"1503910","Collaborative Research: Impact of subglacial discharge on turbulent plume dynamics and ocean-glacier heat and mass transfer"
"1504191","Collaborative Research: Impact of subglacial discharge on turbulent plume dynamics and ocean-glacier heat and mass transfer"
"1303617","Collaborative Research:  Contrasting Under-Ice and Open-Water Phytoplankton Blooms in the Chukchi Sea"
"4937300","NA"
"4155530","NA"
"3005502","NA"
"6000263","NA"
"1236971","Doctoral Dissertation Research:  Possibilities for Itelmen language revitalization in Kamchatka, Russia"
"1658522","NA"
"1059015","NA"
"1197328","NA"
"1248818","NA"
