file,funding,funding_num
arctic-data.9837.25,1432277,1432277
arctic-data.9842.23,1432277,1432277
arctic-data.9845.21,1432277,1432277
arctic-data.9848.19,1432277,1432277
arctic-data.9849.7,1203533,1203533
arctic-data.9852.22,1432277,1432277
arctic-data.9865.5,1418000,1418000
arctic-data.9866.2,1418000,1418000
arctic-data.9867.1,1418000,1418000
arctic-data.9871.4,1418000,1418000
arctic-data.9872.2,1418000,1418000
arctic-data.9875.17,1023371,1023371
arctic-data.9878.7,1023371,1023371
arctic-data.9883.8,1203486,1203486
arctic-data.9885.7,1203486,1203486
arctic-data.9887.9,0839122,0839122
arctic-data.9887.9,1142517,1142517
arctic-data.9887.9,1142517,1142517
arctic-data.9892.4,PLR 1106317,1106317
arctic-data.9892.4,NSF 1106317,1106317
arctic-data.9894.1,1107593,1107593
arctic-data.9896.1,1107593,1107593
arctic-data.9897.2,1023371,1023371
arctic-data.9898.1,1418000,1418000
arctic-data.9901.4,1023191,1023191
arctic-data.9903.5,1203486,1203486
arctic-data.9905.4,1204247,1204247
arctic-data.9907.4,1204247,1204247
arctic-data.9909.4,1204247,1204247
arctic-data.9911.4,1204247,1204247
arctic-data.9913.4,1204247,1204247
arctic-data.9916.5,1204247,1204247
arctic-data.9919.4,1204247,1204247
arctic-data.9922.4,1204247,1204247
arctic-data.9924.5,1204247,1204247
arctic-data.9926.4,1204247,1204247
arctic-data.9928.4,1204247,1204247
arctic-data.9930.4,1204247,1204247
arctic-data.9932.3,1204247,1204247
arctic-data.9935.5,1204247,1204247
arctic-data.9937.5,1204247,1204247
arctic-data.9939.7,1417700,1417700
arctic-data.9939.7,1417745,1417745
arctic-data.9939.7,1417908,1417908
arctic-data.9944.3,1417700,1417700
arctic-data.9944.3,1417745,1417745
arctic-data.9944.3,1417908,1417908
arctic-data.9955.8,1417745,1417745
arctic-data.9955.8, 1417908,1417908
arctic-data.9955.8, 1417700,1417700
arctic-data.9955.8,1417908,1417908
arctic-data.9955.8,1417700,1417700
arctic-data.9959.4,1417700,1417700
arctic-data.9959.4,1417745,1417745
arctic-data.9959.4,1417908,1417908
arctic-data.9963.5,1417700,1417700
