funding_num,funding_text,n_datasets,nsf_match,min_pubDate,min_dateUploaded
1203146,1203146,3,TRUE,2015-06-23T00:00:00Z,2018-05-23T11:31:23Z
1203240,NSF Award 1203240,1,TRUE,2014-10-30T00:00:00Z,2016-04-02T09:30:40Z
1203250,NSF Award 1203250,3,TRUE,2009-11-18T00:00:00Z,2016-04-02T01:05:45Z
1203262,1203262; NSF Award 1203262,2,TRUE,2014-03-10T00:00:00Z,2017-02-28T15:51:21Z
1203267,1203267; NSF Award 1203267,2,TRUE,2014-03-10T00:00:00Z,2016-12-01T16:36:16Z
1203268,NSF Award 1203268,1,TRUE,2015-05-27T00:00:00Z,2016-04-02T09:18:58Z
1203271,1203271,1,TRUE,2017-05-17T00:00:00Z,2017-06-16T15:21:44Z
1203418,1203418,8,TRUE,2016-01-01T00:00:00Z,2018-01-23T12:04:41Z
1203434,1203434,1,TRUE,2016-05-20T00:00:00Z,2016-06-29T12:59:50Z
1203440,1203440; NSF Award 1203440,3,TRUE,2015-08-29T00:00:00Z,2016-04-02T01:50:17Z
1203472,NSF Award 1203472,1,TRUE,2015-11-06T00:00:00Z,2016-04-02T09:31:46Z
1203473,1203473; NSF Award 1203473,42,TRUE,2014-04-29T00:00:00Z,2016-03-22T16:00:00Z
1203486,1203486,6,TRUE,2016-11-01T00:00:00Z,2016-11-01T16:00:00Z
1203492,1203492; NSF Award 1203492,2,TRUE,2014-06-03T00:00:00Z,2018-05-17T14:11:20Z
1203496,1203496,1,TRUE,2017-04-04T00:00:00Z,2017-09-11T13:56:52Z
1203506,ARC-1203506; 1203506; NSF Award 1203506; NSF ARC-1203506,5,TRUE,2010-06-05T00:00:00Z,NA
1203526,1203526,4,TRUE,2016-11-28T00:00:00Z,2016-12-01T12:20:23Z
1203533,1203533,1,TRUE,2017-02-22T00:00:00Z,2017-03-09T12:53:36Z
1203558,1203558,1,TRUE,2016-10-10T00:00:00Z,2017-02-24T09:12:45Z
1203583,1203583,3,TRUE,2016-06-17T00:00:00Z,2016-03-22T16:00:00Z
1203640,NSF Award 1203640,1,TRUE,2014-09-21T00:00:00Z,2017-08-03T08:56:38Z
