funding_num,n_datasets,dataset_ids,funding_text,min_pubDate,min_dateUploaded,date,expDate,fundProgramName,startDate,title
1107981,10,arctic-data.3942.6; arctic-data.3944.5; arctic-data.3946.4; arctic-data.3948.4; arctic-data.3950.5; arctic-data.3952.6; arctic-data.3954.5; arctic-data.3956.6; arctic-data.3958.6; autogen.2016032221263139681.5,1107981; NSF Award 1107981,2015-12-10T00:00:00Z,2016-06-09T20:42:52Z,08/26/2011,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2011,Collaborative Research: Sensitivity of Circum-Arctic Peatland Carbon to Holocene Warm Climates and Climate Seasonality
1108074,4,arctic-data.10156.1; arctic-data.10495.7; arctic-data.11065.9; arctic-data.13710.5,1108074,2017-03-30T00:00:00Z,2017-03-30T16:00:00Z,08/03/2011,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2011,Modeling and Isotopes Link Mycorrhizal Fungi to Soil Carbon and Organic Nitrogen Use
1108200,2,autogen.2016032220430952382.3; autogen.2016032220431427783.2,1108200; NSF Award 1108200,2015-11-23T00:00:00Z,2016-04-02T09:12:53Z,08/11/2011,07/31/2015,ARCTIC NATURAL SCIENCES,08/15/2011,Collaborative Research: Climate-mediated coupling of hydrology and biogeochemistry in arctic hillslopes
1108306,1,arctic-data.6183.3,1108306,2016-05-05T00:00:00Z,2016-05-13T15:53:25Z,08/24/2011,12/31/2015,ARCTIC NATURAL SCIENCES,01/01/2012,COLLABORATIVE RESEARCH: Response of the Northwest Greenland cryosphere to Holocene climate change
1108391,2,autogen.2016032221062310552.16; autogen.2017121316323328112.2,1108391,2017-12-08T00:00:00Z,2017-12-13T16:39:04Z,07/21/2011,08/31/2017,AON IMPLEMENTATION,09/01/2011,"Atmospheric Hydrocarbons at GEOSummit, Greenland, as Tracers for Climate Change, Air Pollution Transport, and Oxidation Chemistry in the Arctic"
1108425,10,arctic-data.2370.8; arctic-data.9804.4; arctic-data.9806.3; arctic-data.9808.3; arctic-data.9810.3; arctic-data.9812.3; arctic-data.9814.3; arctic-data.9816.3; autogen.2016032220540049157.2; autogen.2016051316164424637.4,PLR-1108425; 1108425; NSF Award 1108425,2012-11-12T00:00:00Z,2016-04-02T08:54:43Z,08/26/2011,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2011,Collaborative Research: Linking belowground phenology and ecosystem function in a warming Arctic
1108427,2,autogen.2016032221174049533.3; autogen.2016032221174456134.2,1108427; NSF Award 1108427,2015-10-15T00:00:00Z,2016-04-02T09:34:16Z,08/31/2011,08/31/2015,AON IMPLEMENTATION,09/15/2011,Continuous Spatial and Radiative Measurements of Arctic Clouds Leading to a Network of Compact Infrared Cloud Imagers
1108451,1,autogen.2016032220364392280.2,NSF Award 1108451,2015-02-27T00:00:00Z,2016-04-02T09:02:42Z,08/30/2011,02/28/2015,AON IMPLEMENTATION,09/15/2011,Development of the Autonomous Arctic Infrared Observer (AAIRO)
1108571,1,arctic-data.14105.4,1108571,2017-09-12T00:00:00Z,2017-09-12T15:39:24Z,07/27/2011,02/29/2016,ARCTIC SOCIAL SCIENCES,08/01/2011,Education and Community Viability in Western Alaska
1111395,1,autogen.2016032221204483886.2,NSF Award 1111395,2015-09-28T00:00:00Z,2016-04-02T09:11:08Z,06/10/2011,05/31/2014,ARCTIC SOCIAL SCIENCES,06/15/2011,Paleoindian Adaptations in Eastern Beringia: Prelude or Postscript to the Early Settlement of the Americas
1111882,1,autogen.2016032221515264478.2,NSF Award 1111882,2014-07-08T00:00:00Z,2016-04-02T09:21:24Z,07/21/2011,02/28/2017,AON IMPLEMENTATION,09/01/2011,"The Greenland GPS Network (GNET):  Geodetic characterization of water vapor, climate cycles, climate change and ice mass balance"
1115332,1,autogen.2016032220473780256.2,NSF Award 1115332,2012-08-21T00:00:00Z,2016-04-02T09:16:21Z,01/19/2011,01/31/2012,ARCTIC NATURAL SCIENCES,02/01/2011,"Chromophoric dissolved organic material (CDOM) in Arctic surface waters, implications for solar heating"
1130008,1,autogen.2016032220530678542.3,1130008,2014-10-16T00:00:00Z,2018-05-17T11:42:02Z,09/28/2011,09/30/2015,PHYSICAL OCEANOGRAPHY,10/01/2011,Collaborative Research:  Submarine Melting of Greenland's Glaciers:  What are the Relevant Ocean Dynamics?
1140098,1,autogen.2016032221225421322.2,NSF Award 1140098,2012-11-26T00:00:00Z,2016-04-02T09:32:50Z,06/23/2011,06/30/2012,ARCTIC NATURAL SCIENCES,07/01/2011,RAPID: Tracking Radioactive Fallout from the Fukushima Dai-ichi Disaster in Arctic Snow
1142145,1,arctic-data.14197.6,1142145,2017-10-02T00:00:00Z,2017-10-25T15:24:14Z,07/30/2012,07/31/2017,ANTARCTIC OCEAN & ATMOSPH SCI,08/15/2012,Reactive Gas Chemistry in the Dome C Snowpack and its Influence on Surface Layer Chemistry and Ice Core Records
1142201,1,arctic-data.10055.8,1142201,2017-02-17T00:00:00Z,2017-10-10T12:35:34Z,07/01/2011,06/30/2016,ARCTIC SOCIAL SCIENCES,07/01/2011,EAGER: Testing genotype-hormone associations in circumpolar ancestral and descendant populations
1148800,24,autogen.2016032220441096999.3; autogen.20160322204414456100.3; autogen.2016032220442271601.3; autogen.2016032220442626602.3; autogen.2016032220442974803.3; autogen.2016032220443330204.3; autogen.2016032220443626205.3; autogen.2016032220443964506.3; autogen.2016032220444349207.3; autogen.2016032220444700008.3; autogen.2016032220445047209.3; autogen.2016032220445425510.3; autogen.2016032220445772111.3; autogen.2016032220450120012.3; autogen.2016032220450400313.3; autogen.2016032220450730114.3; autogen.2016032220451121615.3; autogen.2016032220451472916.3; autogen.2016032220451812617.3; autogen.2016032220452146018.3; autogen.2016032220452481419.3; autogen.2016032220452812820.3; autogen.2016032220453178421.2; autogen.2016032220453483922.3,1148800; NSF Award 1148800,2014-12-02T00:00:00Z,2016-04-02T09:27:35Z,08/25/2011,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2011,"RAPID:  Bering Glacier Surge--Observation, Analysis and Parameterization"
1201733,1,autogen.2016032220513330717.3,NSF Award 1201733,2014-10-27T00:00:00Z,2017-08-08T10:40:57Z,09/07/2012,08/31/2015,AON IMPLEMENTATION,09/15/2012,Collaborative Research: Development of an Ice-Tethered Winch for the Seasonal Ice Zone
1203132,1,arctic-data.14737.7,1203132,2018-03-26T00:00:00Z,2018-04-26T13:16:49Z,07/31/2012,07/31/2017,ARCTIC SOCIAL SCIENCES,08/01/2012,"Factors Related to Teacher Retention in Arctic Alaska, an Integral Part of the Circumpolar North"
1203146,3,arctic-data.9408.8; autogen.2016032220524182435.3; autogen.2016032220525610839.3,1203146,2015-06-23T00:00:00Z,2018-05-23T11:31:23Z,09/06/2012,08/31/2018,AON IMPLEMENTATION,09/15/2012,Collaborative Research: Eurasian and Makarov basins observational network targets changes in the Arctic Ocean
1203240,1,autogen.2016032221123450650.2,NSF Award 1203240,2014-10-30T00:00:00Z,2016-04-02T09:30:40Z,07/06/2012,06/30/2015,ARCTIC NATURAL SCIENCES,07/15/2012,InMotion: Influx of Momentum into the Arctic Ocean  - Changes Associated with Sea Ice Reduction
1203250,3,autogen.2016032222025996647.2; autogen.2016032222030343948.2; autogen.2016032222045000175.2,NSF Award 1203250,2009-11-18T00:00:00Z,2016-04-02T01:05:45Z,08/28/2012,08/31/2015,AON IMPLEMENTATION,09/01/2012,Ultraviolet Radiation in the Arctic: 2012-2015
1203262,2,arctic-data.10045.6; autogen.2016032220543895668.3,1203262; NSF Award 1203262,2014-03-10T00:00:00Z,2017-02-28T15:51:21Z,06/04/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/15/2012,Collaborative Research:  Seasonal Synergy between Bacterial Osmoprotection and Algal Production in Sea Ice
1203267,2,arctic-data.9676.5; autogen.2016032220543895668.3,1203267; NSF Award 1203267,2014-03-10T00:00:00Z,2016-12-01T16:36:16Z,06/04/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/15/2012,Collaborative Research: Seasonal Synergy between Bacterial Osmoprotection and Algal Production in Sea Ice
1203268,1,autogen.2016032221085506391.2,NSF Award 1203268,2015-05-27T00:00:00Z,2016-04-02T09:18:58Z,09/05/2012,08/31/2014,ARCTIC SOCIAL SCIENCES,09/15/2012,Doctoral Dissertation Research:   Centennial Scale Human Ecodynamics at Skutustadir Iceland
1203271,1,arctic-data.13762.8,1203271,2017-05-17T00:00:00Z,2017-06-16T15:21:44Z,08/25/2012,12/31/2016,ARCTIC SOCIAL SCIENCES,09/01/2012,"Collaborative Research:  Glacial Retreat and the Cultural Landscape of Ice Floe Sealing at Yakutat Bay, Alaska"
1203418,8,arctic-data.14320.9; arctic-data.14477.9; arctic-data.14477.9; arctic-data.14477.9; arctic-data.14482.6; arctic-data.14495.18; arctic-data.14785.24; autogen.2018012312044213921.1,1203418,2016-01-01T00:00:00Z,2018-01-23T12:04:41Z,06/29/2012,09/30/2017,ARCTIC NATURAL SCIENCES,10/01/2012,Collaborative Research: In Situ Borehole Measurements To Partition The Velocity Of The Greenland Ice Sheet Into Ice Deformation And Basal Sliding Components
1203434,1,arctic-data.6233.3,1203434,2016-05-20T00:00:00Z,2016-06-29T12:59:50Z,06/26/2012,12/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2013,Deciphering the ecology of key diatom taxa to understand climate-induced changes in West Greenland lakes
1203440,3,autogen.2016032220424055674.10; autogen.2016032220424374075.2; autogen.2016032220424827276.3,1203440; NSF Award 1203440,2015-08-29T00:00:00Z,2016-04-02T01:50:17Z,08/24/2012,02/28/2017,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,Collaborative research: Warming and irradiance measurements in the Arctic: Determining the link between solar energy absorption and surface warming through long term observations
1203472,1,autogen.2016032221085831492.2,NSF Award 1203472,2015-11-06T00:00:00Z,2016-04-02T09:31:46Z,03/21/2012,08/31/2013,AON IMPLEMENTATION,03/15/2012,Collaborative Research: Quantifying changes in the Arctic hydrological cycle at the landscape scale using advances in water vapor isotope (18O & D) techniques and aircraft
1203473,42,arctic-data.7792.20; arctic-data.9408.8; arctic-data.9414.4; autogen.2016032220524529536.2; autogen.2016032220525231338.4; autogen.2016032220525610839.3; autogen.2016111612512519017.6; autogen.2016111613085899837.3; autogen.2016111613352290864.3; autogen.2016111613411859775.3; autogen.2016111613495952382.2; autogen.2016111615421579245.2; autogen.2016111615505274551.2; autogen.2016111615562024159.2; autogen.2016111616045203162.2; autogen.2016111616100466470.2; autogen.2016111616135095278.2; autogen.2016111616172107282.2; autogen.2016111616212004686.2; autogen.2016111616254519892.2; autogen.2016111617025741199.2; autogen.2016111617193596903.2; autogen.2016111617441082608.2; autogen.2016111617484787813.2; autogen.2016111617592771318.2; autogen.2016111712184007334.2; autogen.2016111712301484943.2; autogen.2016111712385401264.2; autogen.2016111712453048171.2; autogen.2016111712503935977.2; autogen.2016111712550101389.2; autogen.2016111712582222295.2; autogen.2016111713041823053.2; autogen.2016111713102336559.2; autogen.2016111713375790773.2; autogen.2016111714411182978.2; autogen.2016111714523028998.2; autogen.2016111715043216178.2; autogen.2016111715100299083.2; autogen.2016111716585631422.2; autogen.20161117170848968100.2; autogen.2016111717461405823.2,1203473; NSF Award 1203473,2014-04-29T00:00:00Z,2016-03-22T16:00:00Z,09/06/2012,12/31/2019,AON IMPLEMENTATION,09/15/2012,Collaborative Research: Eurasian and Makarov basins observational network targets changes in the Arctic Ocean
1203486,6,arctic-data.9663.4; arctic-data.9665.1; arctic-data.9820.9; arctic-data.9883.8; arctic-data.9885.7; arctic-data.9903.5,1203486,2016-11-01T00:00:00Z,2016-11-01T16:00:00Z,07/27/2012,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2012,Collaborative Research:  Evaluating the Competing Impacts of Global Emissions Reductions and Climate Change on the Distribution and Retention of selected POPs in the Arctic Ocean
1203492,2,autogen.2016032221173382831.3; autogen.2016032221173709532.3,1203492; NSF Award 1203492,2014-06-03T00:00:00Z,2018-05-17T14:11:20Z,04/16/2012,03/31/2016,ARCTIC NATURAL SCIENCES,04/15/2012,"Marine Test of the Sensitivity of Ice Streams Entering Baffin Bay to Ocean Warming from LGM through Deglaciation, with an Emphasis on Central West Greenland Ice Streams"
1203496,1,autogen.2017040612292856672.7,1203496,2017-04-04T00:00:00Z,2017-09-11T13:56:52Z,07/27/2012,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2012,Collaborative Research:  Evaluating the Competing Impacts of Global Emissions Reductions and Climate Change on the Distribution and Retention of selected POPs in the Arctic Ocean
1203506,5,arctic-data.10024.8; arctic-data.10038.5; autogen.2016032222050654780.8; autogen.2016032222052612485.4; autogen.2018061216064179655.2,ARC-1203506; 1203506; NSF Award 1203506; NSF ARC-1203506,2010-06-05T00:00:00Z,NA,09/24/2012,09/30/2017,AON IMPLEMENTATION,10/01/2012,UpTempO:  Measuring the Upper Layer Temperature of the Arctic Ocean
1203526,4,arctic-data.10000.1; arctic-data.9824.3; arctic-data.9980.2; arctic-data.9993.1,1203526,2016-11-28T00:00:00Z,2016-12-01T12:20:23Z,07/27/2012,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2012,Collaborative Research:  Evaluating the Competing Impacts of Global Emissions Reductions and Climate Change on the Distribution and Retention of selected POPs in the Arctic Ocean
1203533,1,arctic-data.9849.7,1203533,2017-02-22T00:00:00Z,2017-03-09T12:53:36Z,07/25/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2012,Assessment of the natural perchlorate source using perchlorate history  from Greenland ice cores.
1203558,1,arctic-data.9554.5,1203558,2016-10-10T00:00:00Z,2017-02-24T09:12:45Z,08/14/2012,10/31/2016,ARCTIC NATURAL SCIENCES,11/01/2012,Collaborative Research: Using opportunistic radon measurements to estimate the gas transfer velocity in partial sea ice cover
1203583,3,autogen.2016032220540687559.4; autogen.2016032220541012460.5; autogen.2016061713372754380.4,1203583,2016-06-17T00:00:00Z,2016-03-22T16:00:00Z,09/13/2012,08/31/2014,AON IMPLEMENTATION,09/15/2012,Collaborative Research: Multi-Regional Scale Aircraft Observations of Methane and Carbon Dioxide Isotopic Fluxes in the Arctic
1203640,1,autogen.2016032221261617777.3,NSF Award 1203640,2014-09-21T00:00:00Z,2017-08-03T08:56:38Z,08/24/2012,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2012,Searching for Abrupt Climate Change Precursors Using Ultra High Resolution Ice Core Analysis
1203772,1,arctic-data.6172.7,1203772,2016-05-03T00:00:00Z,2016-05-10T00:06:22Z,07/03/2012,01/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,02/01/2013,"Collaborative Research: Paleoclimate, Paleoenvironment and Other Potential Drivers of Extinction of Mammuthus primigenius, St. Paul Island, Pribilof Islands, Alaska."
1203773,3,autogen.2016032222274986236.3; autogen.2018053106141892730.9; autogen.2018053107422941300.9,NSF Award 1203773; 1203773,2015-01-20T00:00:00Z,2018-06-06T09:17:49Z,07/27/2012,12/31/2017,ARCTIC NATURAL SCIENCES,01/01/2013,Weathering of western Greenland: Influences on oceanic fluxes of radiogenic isotopes
1203779,2,arctic-data.9677.10; autogen.2017112815552110501.5,1203779,2016-11-05T00:00:00Z,2017-12-20T11:05:25Z,07/27/2012,07/31/2017,ARCTIC NATURAL SCIENCES,08/01/2012,Collaborative Research: Investigating the potential of carbon-14 in polar firn and ice as a tracer of past cosmic ray flux and an absolute dating tool
1203784,3,autogen.2016032220424055674.10; autogen.2016032220424374075.2; autogen.2016032220424827276.3,1203784; NSF Award 1203784,2015-08-29T00:00:00Z,2016-04-02T01:50:17Z,08/24/2012,12/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,Collaborative research: Warming and irradiance measurements in the Arctic: Determining the link between solar energy absorption and surface warming through long term observations
1203838,2,arctic-data.9511.3; arctic-data.9512.2,1203838,2016-09-01T00:00:00Z,2016-09-02T16:00:00Z,06/11/2012,05/31/2016,PALEOCLIMATE PROGRAM,06/15/2012,Collaborative Research:  P2C2--Reconstructing Central Alaskan Precipitation Variability and Atmospheric Circulation during the Past Millennium
1203851,1,autogen.2016032220440077896.3,NSF Award 1203851,2015-09-23T00:00:00Z,2017-08-25T11:40:47Z,07/03/2012,06/30/2015,ARCTIC NATURAL SCIENCES,07/15/2012,Collaborative Research: Developing a high-resolution late Holocene sediment record of rapid Arctic climate change from the Beaufort Sea coastal zone
1203857,1,arctic-data.14699.9,1203857,2018-04-27T00:00:00Z,2018-04-30T11:08:33Z,06/26/2012,08/31/2017,ARCTIC NATURAL SCIENCES,09/01/2012,Collaborative Research: Direction and Mechanisms of Seasonal Change in Arctic Microbial Communities
1203861,2,arctic-data.9361.2; arctic-data.9368.1,1203861,2016-06-27T00:00:00Z,2016-06-27T16:00:00Z,07/11/2012,12/31/2015,ARCTIC NATURAL SCIENCES,01/01/2013,Atmospheric Inputs and the Photochemical Transformation of Brominated Flame Retardants in Arctic Surface Waters
1203902,11,arctic-data.9548.2; arctic-data.9552.3; autogen.2016101015493144321.3; autogen.2016101016133216225.3; autogen.2016101016375003288.3; autogen.2016101017041311852.3; autogen.2016101017273557617.3; autogen.2016101017503011781.3; autogen.2016101018133486445.3; autogen.2016101018372257708.3; autogen.2016101310202315674.3,1203902,2016-10-05T00:00:00Z,2016-10-05T16:00:00Z,08/28/2012,08/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,A multi-faceted evaluation of aerosol impacts on Arctic clouds
1203990,1,arctic-data.10043.11,1203990,2017-02-09T00:00:00Z,2017-03-07T16:22:23Z,07/03/2012,01/31/2017,ARCTIC NATURAL SCIENCES,02/01/2013,"Collaborative Research: Paleoclimate, Paleoenvironment and Other Potential Drivers of Extinction of Mammuthus primigenius , St. Paul Island, Pribilof Islands, Alaska"
1204005,2,arctic-data.10042.10; arctic-data.10060.3,1204005,2017-02-08T00:00:00Z,2017-02-23T13:45:42Z,08/28/2012,08/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,Collaborative Research:  Arctic Sensitivity to Climate Perturbations and a Millenial Perspective on Current Warming Derived from Shrinking Ice Caps
1204013,4,arctic-data.9825.3; autogen.2016120610264077397.5; autogen.2016120611404567901.2; autogen.2016120613010428310.3,1204013,2016-11-29T00:00:00Z,2016-11-28T16:00:00Z,08/24/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2012,Collaborative Research:  Exploring the Dynamics of the Active Layer and Near-Surface Permafrost across the North Slope of Alaska
1204044,1,arctic-data.13911.24,1204044,2017-07-24T00:00:00Z,2017-09-05T09:29:06Z,09/17/2012,08/31/2018,AON IMPLEMENTATION,09/15/2012,Collaborative Research: The Distributed Biological Observatory (DBO)-A Change Detection Array in the Pacific Arctic Region
1204059,1,arctic-data.10018.31,1204059,2017-01-23T00:00:00Z,2017-02-01T10:51:00Z,08/28/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2012,Collaborative research: Spatial and temporal variability of surface albedo and light absorbing chemical species in Greenland.
1204070,11,arctic-data.9674.1; arctic-data.9723.1; arctic-data.9727.4; arctic-data.9733.1; arctic-data.9734.1; arctic-data.9743.1; arctic-data.9752.1; arctic-data.9784.1; arctic-data.9785.1; arctic-data.9787.1; arctic-data.9797.3,1204070,2016-11-03T00:00:00Z,2016-11-03T16:00:00Z,08/24/2012,08/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,"Collaborative Research: Interactions Between Air Temperature, Permafrost and Hydrology in the High Latitudes of Eurasia"
1204082,9,arctic-data.13788.4; arctic-data.14700.7; arctic-data.9445.4; arctic-data.9448.5; arctic-data.9493.3; arctic-data.9590.11; autogen.2016111713204671466.13; autogen.2018040610272655582.1; autogen.2018061310252177263.1,1204082,2016-08-11T00:00:00Z,2016-08-17T09:48:32Z,09/17/2012,08/31/2017,AON IMPLEMENTATION,09/15/2012,Collaborative Research:  The Distributed Biological Observatory (DBO)-A Change Detection Array in the Pacific Arctic Region
1204084,3,arctic-data.9677.10; arctic-data.9822.8; autogen.2017112815552110501.5,1204084,2016-11-05T00:00:00Z,2017-12-20T11:05:25Z,07/27/2012,07/31/2016,ARCTIC NATURAL SCIENCES,08/01/2012,Collaborative Research: Investigating the potential of carbon-14 in polar firn and ice as a tracer of past cosmic ray flux and an absolute dating tool
1204096,1,autogen.2018053109304736211.11,ARC 1204096,NA,2018-06-01T12:17:21Z,08/28/2012,02/28/2018,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,Collaborative Research:  Arctic Sensitivity to Climate Perturbations and a Millenial Perspective on Current Warming Derived from Shrinking Ice Caps
1204110,2,arctic-data.9529.7; arctic-data.9543.1,1204110,2016-09-21T00:00:00Z,2016-09-23T16:00:00Z,08/24/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2012,"Collaborative Research: Interactions Between Air Temperature, Permafrost and Hydrology in the High Latitudes of Eurasia"
1204169,2,arctic-data.14661.22; autogen.2016032221220909409.3,1204169; NSF Award 1204169,2014-01-14T00:00:00Z,2017-07-31T14:37:00Z,07/13/2012,07/31/2017,ARCTIC NATURAL SCIENCES,08/15/2012,Quantifying nitrite and peroxynitrite formation from the photolysis of nitrate in/on ice
1204176,10,arctic-data.6151.8; arctic-data.6158.4; arctic-data.6164.5; arctic-data.6166.6; arctic-data.7787.1; arctic-data.7789.5; arctic-data.9409.6; arctic-data.9799.8; arctic-data.9829.4; arctic-data.9831.4,1204176,2016-04-26T00:00:00Z,2016-06-10T16:00:00Z,08/29/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2012,Collaborative Research: Continuous Records of Greenhouse Gases and Aerosol Deposition During the Holocene: Testing the Fidelity of New Methods for Reconstructing Atmospheric Change
1204220,1,arctic-data.14461.6,1204220,2017-12-22T00:00:00Z,2018-02-27T10:52:14Z,07/13/2012,06/30/2018,ARCTIC NATURAL SCIENCES,07/15/2012,Collaborative Research: Quantification of Dominant Heat Fluxes in Streams and Rivers in Arctic Alaska
1204223,1,arctic-data.14493.9,1204223,2018-01-05T00:00:00Z,2018-01-17T14:38:24Z,06/26/2012,06/30/2017,ARCTIC NATURAL SCIENCES,07/01/2012,"NEEM basal ice, assessing the attributes of a cold, deep, dark ecosystem"
1204233,1,arctic-data.13839.7,1204233,2017-06-07T00:00:00Z,2017-07-13T12:21:20Z,07/03/2012,01/31/2017,ARCTIC SYSTEM SCIENCE PROGRAM,02/01/2013,"Collaborative Research: Paleoclimate, Paleoenvironment and Other Potential Drivers of Extinction of Mammuthus primigenius, St. Paul Island, Pribilof Islands, Alaska."
1204247,16,arctic-data.9905.4; arctic-data.9907.4; arctic-data.9909.4; arctic-data.9911.4; arctic-data.9913.4; arctic-data.9916.5; arctic-data.9919.4; arctic-data.9922.4; arctic-data.9924.5; arctic-data.9926.4; arctic-data.9928.4; arctic-data.9930.4; arctic-data.9932.3; arctic-data.9935.5; arctic-data.9937.5; autogen.2016032221173059230.3,1204247; NSF Award 1204247,2012-11-12T00:00:00Z,2017-01-05T13:30:38Z,06/21/2012,09/30/2016,ARCTIC NATURAL SCIENCES,09/01/2012,"Longitudinal variation in the physiology, growth and reproduction of white spruce at the Arctic treeline in Alaska"
1204248,1,autogen.2017112815192180799.1,1204248,2017-11-21T00:00:00Z,2017-11-28T15:19:21Z,08/13/2012,07/31/2015,ARCTIC NATURAL SCIENCES,08/15/2012,Ethane measurements in Greenland ice cores: Developing a preindustrial record
1204263,1,arctic-data.13777.3,1204263,2017-05-17T00:00:00Z,2017-06-23T11:24:07Z,08/24/2012,02/28/2017,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,Methane loss from Arctic: towards an annual budget of CH4 emissions from tundra ecosystems across a latitudinal gradient
1204267,28,autogen.2017101916181002868.5; autogen.2017102013285336686.4; autogen.2017102013385015694.4; autogen.20171020135254213100.4; autogen.2017102015225625202.8; autogen.2017102015245163403.7; autogen.2017102015533859309.4; autogen.2017102015591382916.4; autogen.2017102016053383023.4; autogen.2017102016095440730.4; autogen.2017102016580484362.8; autogen.2017102312004243051.6; autogen.20171023122703093100.5; autogen.2017102313131199243.5; autogen.2017102313264188350.5; autogen.2017102313365161155.6; autogen.2017102315444951664.4; autogen.2017102315584384572.5; autogen.2017102316131736081.7; autogen.2017102316212531489.6; autogen.2017102316571725293.6; autogen.2017102616152649349.4; autogen.2017102616210842756.5; autogen.2017102616363375564.4; autogen.2017102616442012671.4; autogen.2018021413585757960.3; autogen.2018030615392366822.3; autogen.2018030713045523652.1,1204267,NA,2018-02-12T13:50:50Z,07/27/2012,07/31/2017,ARCTIC NATURAL SCIENCES,08/01/2012,Circulation and Respiration in Ice-covered Arctic Lakes
1205008,14,arctic-data.10499.6; arctic-data.10502.6; arctic-data.10504.7; arctic-data.10506.4; arctic-data.10508.5; arctic-data.10510.4; arctic-data.10512.4; arctic-data.10514.4; arctic-data.10516.5; arctic-data.10518.4; arctic-data.10520.4; arctic-data.10522.5; arctic-data.10524.4; arctic-data.10545.2,1205008,2017-04-10T00:00:00Z,2017-04-27T14:16:04Z,08/29/2012,08/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,"Collaborative Research: Investigating the Influence of Sea-surface Variability on Ice Sheet Mass Balance and Outlet Glacier Behavior using Records from Disko Bugt, West Greenland"
1205062,1,arctic-data.14377.22,1205062,2017-11-28T00:00:00Z,2018-01-17T11:26:26Z,08/29/2012,08/31/2017,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,"Collaborative Research: Investigating the Influence of Sea-surface Variability on Ice Sheet Mass Balance and Outlet Glacier Behavior using Records from Disko Bugt, West Greenland"
1205152,1,autogen.2016032221224690020.2,NSF Award 1205152,2014-03-10T00:00:00Z,2016-04-02T09:20:53Z,12/22/2011,12/31/2013,ARCTIC NATURAL SCIENCES,01/01/2012,Rapid Response Research: Accessing New Sea Ice in an Arctic Winter Polynya
1208635,1,autogen.2016032220553146382.2,NSF Award 1208635,2014-05-20T00:00:00Z,2016-04-02T09:14:21Z,02/24/2012,02/28/2014,ARCTIC NATURAL SCIENCES,03/01/2012,"Collaborative Research: Sonic Logging the NEEM Corehole, Greenland"
1215551,1,autogen.2016032220365633284.3,NSF Award 1215551,2014-07-01T00:00:00Z,2017-08-02T12:50:53Z,03/21/2012,03/31/2014,ARCTIC NATURAL SCIENCES,04/01/2012,Early-concept grant for exploratory research (EAGER) proposal: Accessing the potential of clumped isotope thermometry to constrain temperatures in the Arctic during the Pliocene
1216385,1,autogen.2016032221064136157.2,NSF Award 1216385,2015-06-03T00:00:00Z,2016-04-02T08:56:41Z,09/11/2012,08/31/2014,ARCTIC SOCIAL SCIENCES,09/15/2012,"Doctoral Dissertation Improvement Grant: Microblades, Bifaces, and the Chindadn Complex: Reinvestigating the Healy Lake Archaeological Record, Alaska"
1217575,1,autogen.2016032221220577108.2,NSF Award 1217575,2015-05-04T00:00:00Z,2016-04-02T09:01:58Z,09/11/2012,08/31/2014,ARCTIC SOCIAL SCIENCES,09/15/2012,Doctoral Dissertation Improvement Grant:  Prehistoric Upland Use in the Central Alaska Range
1219344,1,autogen.2016032221122807548.2,NSF Award 1219344,2015-05-15T00:00:00Z,2016-04-02T09:03:57Z,09/10/2012,09/30/2014,ARCTIC SOCIAL SCIENCES,09/15/2012,"Collaborative Research:  Using Visual Methods to Engage Indigenous Youth and Community Members in Cross-Site, International Analysis:  A Methodological Study"
1224181,1,arctic-data.13754.8,1224181,2017-05-16T00:00:00Z,2017-05-25T10:41:53Z,09/10/2012,08/31/2016,ARCTIC SOCIAL SCIENCES,09/15/2012,"Examining the intersections of place-making and development in the Pribilof Islands, Alaska"
